sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d35ctrl096	bin.1044	27.171704063144567	4.032537836403357	1.636037103231379	1.636037103231379	1.7058374083599495	0.9387154549055825	98.31	-2.555587254335775	0.06019551015620428	35	ctrl	096	35
d07ctrl038	bin.1044	183.64463229598925	30.130622146709626	2.3346617866193125	2.3346617866193125	2.404541846347626	0.9137902932993179	96.94000000000001	2.5781220814636403	0.012500947089153613	07	ctrl	038	7
d35ctrl095	bin.1044	56.95882141393622	12.032642398092504	1.698399329359602	1.698399329359602	1.7651438577948768	0.950544410513871	98.23	-4.343105470678826	0.05157937084063991	35	ctrl	095	35
d35ctrl097	bin.1044	56.757947927050225	11.531261286706581	1.808824181637384	1.808824181637384	1.8640122507930013	0.9655793433029499	100	-1.6127032013895257	0.02491470449299249	35	ctrl	097	35
d35ther113	bin.1012	7.98132776832074	2.495526915534397	1.5500912545843637	1.5500912545843637	1.565428795546166	0.9886241607313898	97.9	-0.36248919828378884	0.04404209958177763	35	ther	113	35
d35sub103	bin.1012	12.9864627032571	2.987737334900929	1.3761460413118076	1.3761460413118076	1.382696627760264	0.9844272662496083	98.42	-0.16072838927250732	0.020868493880577547	35	sub	103	35
d07ctrl036	bin.1012	6.265838206280581	0.9438633121953538	2.2142432501478377	2.2142432501478377	2.243380863262134	0.923225998813326	99.1	0.013250118717741496	0.0041087717873641285	07	ctrl	036	7
d35sub106	bin.1012	11.685783577040052	2.6717616623265688	1.5744043234448921	1.5744043234448921	1.6004108321486514	0.9863884712657967	98.39	-1.791637494951088	0.09269277281443757	35	sub	106	35
d35sub109	bin.1012	6.910926204229314	0.7924867971647113	2.1760784487495037	2.1760784487495037	2.191022706179468	0.9191594110839937	100	-0.7017482503184901	0.05439454767519392	35	sub	109	35
d35ther120	bin.1012	22.79430274713143	4.588355489930638	1.5427516898688585	1.5427516898688585	1.5622475905015487	0.9955906718464692	97.93	-6.279604678247572	0.1414349881263575	35	ther	120	35
d07ther059	bin.1012	23.828623371628403	5.5184369946485985	1.7839763800462118	1.7839763800462118	1.8121471143310475	0.9963556928807863	97.9	-4.101812245356068	0.08937236482243324	07	ther	059	7
d07ctrl031	bin.1012	7.658527360916231	0.6014701865596779	2.762447865001371	2.762447865001371	2.9029584574263345	0.9440833691065108	98.93	0.5396586215518834	0.035781806449807	07	ctrl	031	7
d35sub101	bin.1012	6.194101893861155	0.6603050014036586	1.68359750599506	1.68359750599506	1.7668815061671417	0.9836425374701069	98.34	-3.2278013643170937	0.18595215152164024	35	sub	101	35
d35ther115	bin.1012	24.050476848455496	3.450424311243156	1.5606094694761703	1.5606094694761703	1.60791593809773	0.9928959892013738	97.86	-7.779454226126806	0.15324083569676888	35	ther	115	35
d07ther056	bin.1012	17.346597958704	1.665814149480215	1.4619692132563873	1.4619692132563873	1.4946768140149138	0.9872516257134384	97.88	-4.926896703584933	0.15232608396748884	07	ther	056	7
d07ther053	bin.1012	21.74314606021324	3.4230743738970113	1.6273948765026198	1.6273948765026198	1.634996779806461	0.9942536693298761	97.96000000000001	-1.5252098099796703	0.05484635674842876	07	ther	053	7
d07ther057	bin.1012	25.42830179272227	2.7657210046097003	1.4169173128641221	1.4169173128641221	1.4266452936689482	0.9770493955466569	98.76	-0.9303254263224273	0.0400511334766248	07	ther	057	7
d07ther055	bin.1012	12.497200874637647	2.852733780692515	1.5276593744817195	1.5276593744817195	1.5367882697597683	0.9883575309517577	98.19	-0.41670391104068627	0.035732918632272244	07	ther	055	7
d35ther114	bin.1012	11.452815863134878	0.6539068982640097	1.6662328901475705	1.6662328901475705	1.8769305770665816	0.9915344748760003	98.09	-26.850044535834297	0.4594618351880378	35	ther	114	35
d35sub108	bin.1012	17.53408736405012	1.4561508998040165	1.6341325263733943	1.6341325263733943	1.6773815308230136	0.9912500695455966	98.05	-6.773402879349379	0.1632189897145594	35	sub	108	35
d35sub110	bin.1012	6.973068567887693	1.536140687727883	1.7113845717356417	1.7113845717356417	1.7301470069655454	0.9860306607493762	98.14999999999999	-1.3234275589728646	0.09782023617814341	35	sub	110	35
d35sub104	bin.1012	12.257557994601179	2.426487417498045	1.6941146860980683	1.6941146860980683	1.6986668664345383	0.9933561383569646	98.24000000000001	-0.8631054905179116	0.052359421621871356	35	sub	104	35
d07ther052	bin.1012	11.969663677609136	1.36703633850641	1.6949435138412623	1.6949435138412623	1.7035569119886285	0.9917653357531331	97.9	-0.7696272097036401	0.049064573199230736	07	ther	052	7
d35ctrl095	bin.1012	6.849365389135405	1.4469394263339366	2.317468435443039	2.317468435443039	2.3256313267103774	0.9104074754224742	99.83	0.004384124357472731	0.0017972085422597315	35	ctrl	095	35
d78ther204	bin.982	18.902081851576956	1.963010035438965	1.635985479106792	1.635985479106792	1.7309202143551112	0.9625086048823789	100	7.9371465054429695	0.15883540799385767	78	ther	204	78
d78sub197	bin.982	16.671047872299237	2.184428900496303	1.4307608978927735	1.4307608978927735	1.4712922113537037	0.9868029514781325	100	2.194195083125755	0.09433760834080261	78	sub	197	78
d78sub198	bin.982	15.656087433120476	2.1705431596146405	1.584597207229778	1.584597207229778	1.7019690127930576	0.9941035896372661	100	8.0238738551409	0.19603872895097738	78	sub	198	78
d78ther210	bin.982	12.004030192986901	1.6507036087891869	1.390328218845749	1.390328218845749	1.3979825736075606	0.9903141238127463	100	0.041866811950149706	0.009278834594748766	78	ther	210	78
d78sub195	bin.982	11.25048697473926	1.2707205306922624	1.4012658147935502	1.4012658147935502	1.4137224273660138	0.9883686023578557	100	0.21128380923778062	0.028193834758735603	78	sub	195	78
d78sub192	bin.982	7.439014502500411	2.1164848853627314	1.6731020412709765	1.6731020412709765	1.7736076708609243	0.9856496413381324	100	2.8728028272778943	0.1511417402877743	78	sub	192	78
d78ther208	bin.982	8.311363518208596	1.8209759643668393	1.386285232004992	1.386285232004992	1.3977201600556786	0.9885844510975349	100	-0.35127918125338137	0.04853644382986688	78	ther	208	78
d78ctrl186	bin.982	12.34125176566366	2.1265927335593773	1.5264701816520243	1.5264701816520243	1.5939131028308204	0.9891331774761599	100	3.45547060376081	0.13961192364242264	78	ctrl	186	78
d78ther201	bin.982	21.53037605179354	2.5125534294276584	1.4297199707910124	1.4297199707910124	1.4693174680467767	0.9847641219164899	100	2.0063975285247917	0.07564625248387505	78	ther	201	78
d78ctrl182	bin.982	17.30852684195913	1.6528690191962865	1.3730721977260616	1.3730721977260616	1.3810164851898439	0.9880057940984087	100	0.047234991870014814	0.007913326817027055	78	ctrl	182	78
d78sub191	bin.982	11.095660532425718	1.6719540901507235	1.3623291383966958	1.3623291383966958	1.363921809397595	0.9900434018234767	100	-0.00234687940518684	0.001497917539492688	78	sub	191	78
d78sub193	bin.982	31.192151770198805	2.1370953871889538	1.4796910921937145	1.4796910921937145	1.5694401204480948	0.9866590463799688	100	12.715352514375384	0.18364509022783052	78	sub	193	78
d78ctrl185	bin.982	7.598110615440942	0.8489305700089903	1.5283706912860289	1.5283706912860289	1.5608865769492781	0.9821935783497429	100	0.4763406796360571	0.05255457020282839	78	ctrl	185	78
